dataset,split,point_index,t,measured_X,measured_Y,measured_Z,ref_X,ref_Y,ref_Z
Dataset01,all,185,18.5,9.5717828,9.3418155,-4.5100286,9.57170348227688,9.34182763838756,-4.510032336687101
Dataset01,all,186,18.6,9.5725438,9.3402289,-4.5142752,9.572465780994154,9.340374717316521,-4.5138431448825544
Dataset01,all,187,18.7,9.569977,9.3269774,-4.5083406,9.57004333748659,9.327596475868333,-4.508349620938548
Dataset01,all,188,18.8,9.5706578,9.3133608,-4.5079114,9.570590154685572,9.313958225264702,-4.507710780314381
Dataset01,all,189,18.900000000000002,9.5734256,9.3027901,-4.5028114,9.573272518068112,9.303206785237473,-4.502812949566695
Dataset01,all,190,19.0,9.5774831,9.295373,-4.4980298,9.57728721756317,9.29561435777151,-4.498026416210292
Dataset01,all,191,19.1,9.5811848,9.3032417,-4.4980647,9.581019612143708,9.302823618330082,-4.4978628173870705
Dataset01,all,192,19.200000000000003,9.5904975,9.3216027,-4.5141306,9.590117215828537,9.32076275622793,-4.51327784647038
Dataset01,all,193,19.3,9.5968453,9.3384639,-4.5235198,9.596612934986211,9.337744680441295,-4.522992954409679
Dataset01,all,194,19.400000000000002,9.6017203,9.3526722,-4.5322358,9.601575864887398,9.35213266110711,-4.531797995186421
Dataset01,all,195,19.5,9.6059508,9.3668154,-4.548635,9.60584968216675,9.366334950789817,-4.547923816795569
Dataset01,all,196,19.6,9.6095314,9.3755221,-4.5585417,9.609468048844418,9.375311885347534,-4.55815153868282
Dataset01,all,197,19.700000000000003,9.6097757,9.3779304,-4.5693139,9.609857227525266,9.378010125185487,-4.568936718981073
Dataset01,all,198,19.8,9.605587,9.3756236,-4.5743926,9.605849887294024,9.375902462113661,-4.574284971404871
Dataset01,all,199,19.900000000000002,9.6020341,9.3765148,-4.5852642,9.602254375747147,9.376644683595183,-4.5849385966250775
Dataset01,all,200,20.0,9.595091,9.3745859,-4.5906904,9.595429305990086,9.374814129185847,-4.590609911925199
Dataset01,all,201,20.1,9.5892405,9.3758326,-4.5934667,9.589507898616853,9.375913216355102,-4.593512893720867
Dataset01,all,202,20.200000000000003,9.5822658,9.3697866,-4.5900815,9.58255234697305,9.37015451467921,-4.590382784541541
Dataset01,all,203,20.3,9.5783489,9.3719506,-4.5909843,9.57848412994469,9.371958420476016,-4.591091932134242
